sentiment,confidence,image_url
Negative,0.5215,http://farm1.staticflickr.com/76/176795220_72db378a9a.jpg
Positive,0.6376,http://farm3.staticflickr.com/2033/1660184048_3f6db23524.jpg
Positive,0.559,http://farm3.staticflickr.com/2600/5708287661_0316f2c9f4.jpg
Positive,0.7987,http://farm5.staticflickr.com/4035/4267924056_6226db9632.jpg
Positive,0.7207,http://farm9.staticflickr.com/8141/7116670775_8d07a3d9e4.jpg
Positive,0.6805,http://farm1.staticflickr.com/150/370635839_134364d566.jpg
Highly negative,0.5988,http://farm9.staticflickr.com/8045/8133978836_7f50da9b05.jpg
Highly negative,0.6415,http://farm3.staticflickr.com/2053/2790175874_6b482b1553.jpg
Positive,0.7584,http://farm1.staticflickr.com/111/364986953_c21eff95f5.jpg
Highly negative,0.6028,http://farm4.staticflickr.com/3017/3108414143_7d5d2df0f9.jpg
Positive,0.5175,http://farm4.staticflickr.com/3082/3133138117_c8907db652.jpg
Positive,0.5569,http://farm6.staticflickr.com/5142/5603892220_d704f6ede6.jpg
Positive,0.8015,http://farm4.staticflickr.com/3622/3519567139_9ae3071c44.jpg
Positive,0.6758,http://farm4.staticflickr.com/3464/4565528585_a0860dc5ae.jpg
Highly negative,0.5619,http://farm5.staticflickr.com/4061/4375914756_56046282c8.jpg
Positive,0.7602,http://farm3.staticflickr.com/2502/4102349572_d5d3d44e53.jpg
Negative,0.7611,http://farm2.staticflickr.com/1390/784562445_ae0a875bfb.jpg
Highly negative,0.6,http://farm1.staticflickr.com/55/186194188_8014829650.jpg
Positive,0.6428,http://farm3.staticflickr.com/2229/2286843188_4df0efc133.jpg
Positive,0.5231,http://farm1.staticflickr.com/183/446720133_4dd97fdb5e.jpg
Positive,0.7211,http://farm3.staticflickr.com/2245/2103921872_d03a183fb7.jpg
Highly positive,0.6804,http://farm3.staticflickr.com/2531/3799198494_8b21c17917.jpg
Negative,0.5597,http://farm3.staticflickr.com/2391/2444138998_4e08e4c789.jpg
Negative,0.6789,http://farm1.staticflickr.com/239/519914693_82203f3f0e.jpg
Positive,0.7188,http://farm2.staticflickr.com/1403/960428369_b455f5a894.jpg
Highly positive,0.519,http://farm1.staticflickr.com/117/262709723_c6f482bbd6.jpg
Highly positive,0.5158,http://farm1.staticflickr.com/14/89799023_1151037bb6.jpg
Negative,0.6812,http://farm9.staticflickr.com/8108/8655230727_61ee7906e3.jpg
Positive,0.6788,http://farm3.staticflickr.com/2835/10119017503_8540e43a20.jpg
Positive,0.6005,http://farm4.staticflickr.com/3107/2840079876_247b09e304.jpg
Positive,0.6411,http://farm4.staticflickr.com/3023/2634329026_66ed646603.jpg
Positive,0.7617,http://farm4.staticflickr.com/3155/2345968015_d6996c42db.jpg
Highly negative,0.5232,http://farm4.staticflickr.com/3222/2511208533_e86cecab9b.jpg
Negative,0.641,http://farm6.staticflickr.com/5258/5436786272_6f1866de52.jpg
Negative,0.7193,http://farm5.staticflickr.com/4041/4313668812_3ceb758469.jpg
Positive,0.7657,http://farm3.staticflickr.com/2465/3902169863_849a25a04d.jpg
Positive,0.5213,http://farm9.staticflickr.com/8059/8276636443_497b4dac0c.jpg
Negative,0.7997,http://farm4.staticflickr.com/3271/3111961411_748e966d7e.jpg
Negative,0.8417,http://farm1.staticflickr.com/45/156995330_62ed9d5dbe.jpg
Highly positive,0.6021,http://farm8.staticflickr.com/7209/6901074791_75ee104299.jpg
Positive,0.7597,http://farm4.staticflickr.com/3630/3497948980_a6665094b7.jpg
Negative,0.521,http://farm8.staticflickr.com/7031/6645587483_cdbf5703b9.jpg
Positive,0.7627,http://farm4.staticflickr.com/3182/2682747254_c7f2dc5a47.jpg
Positive,0.682,http://farm1.staticflickr.com/216/517808621_9d67b7510d.jpg
Highly positive,0.6021,http://farm3.staticflickr.com/2690/5857237656_bc602e6346.jpg
Positive,0.6809,http://farm4.staticflickr.com/3164/2675572437_1a843da5ef.jpg
Positive,0.5972,http://farm9.staticflickr.com/8069/8170944379_247f4fc4d5.jpg
Negative,0.6359,http://farm2.staticflickr.com/1039/1414671231_b41016f49e.jpg
Positive,0.5205,http://farm6.staticflickr.com/5271/5881985651_dde3864ff0.jpg
Negative,0.6415,http://farm2.staticflickr.com/1432/5154818595_867789bf6c.jpg
Positive,0.5554,http://farm6.staticflickr.com/5223/5585543823_8ffd8b64c2.jpg
Positive,0.6,http://farm6.staticflickr.com/5086/5216016972_0af2b1b4f7.jpg
Positive,0.6002,http://farm4.staticflickr.com/3589/3616979151_5dc8a7aa94.jpg
Positive,0.5182,http://farm1.staticflickr.com/51/187895444_a58734d08d.jpg
Positive,0.8404,http://farm6.staticflickr.com/5097/5464682806_bc62fd81d4.jpg
Highly negative,0.5598,http://farm5.staticflickr.com/4067/4375869084_e26c4d0447.jpg
Negative,0.5589,http://farm4.staticflickr.com/3168/2830102816_8a3ac2ccdd.jpg
Highly positive,0.5201,http://farm1.staticflickr.com/103/289385280_f6ca8c453f.jpg
Positive,0.519,http://farm7.staticflickr.com/6231/6327362084_e115fdb22f.jpg
Highly negative,0.6385,http://farm5.staticflickr.com/4038/4375904422_cdb479737a.jpg
Negative,0.7582,http://farm4.staticflickr.com/3244/2296138797_d77a1198c9.jpg
Negative,0.7621,http://farm3.staticflickr.com/2769/4322284612_3064d02196.jpg
Highly positive,0.5615,http://farm4.staticflickr.com/3770/11105592996_c6928681bf.jpg
Positive,0.6427,http://farm9.staticflickr.com/8228/8521748963_a74827e6c9.jpg
Positive,0.8789,http://farm1.staticflickr.com/222/507980719_dce7d8f4e0.jpg
Positive,0.6018,http://farm2.staticflickr.com/1256/1438157621_9b5d9af5d3.jpg
Positive,0.5185,http://farm5.staticflickr.com/4123/4920157645_be94513bb2.jpg
Positive,0.7986,http://farm6.staticflickr.com/5164/5347943989_6991586c81.jpg
Negative,0.5176,http://farm4.staticflickr.com/3690/8914048832_8772c6f8bb.jpg
Highly negative,0.6798,http://farm5.staticflickr.com/4011/4375149559_a1c5197267.jpg
Positive,0.5237,http://farm8.staticflickr.com/7060/6913508663_46a750aeba.jpg
Highly positive,0.5594,http://farm1.staticflickr.com/69/155421589_8608a07379.jpg
Positive,0.6378,http://farm3.staticflickr.com/2062/2212428585_3bd35e2688.jpg
Negative,0.722,http://farm3.staticflickr.com/2377/1815873607_f705c6dff5.jpg
Highly positive,0.5575,http://farm6.staticflickr.com/5267/5754933568_182f758ba9.jpg
Negative,0.8417,http://farm2.staticflickr.com/1181/1429881314_e703b05540.jpg
Highly positive,0.8041,http://farm9.staticflickr.com/8036/7975286856_5de0725bbc.jpg
Positive,0.6046,http://farm9.staticflickr.com/8424/7706161552_9520ca3fd8.jpg
Positive,0.5187,http://farm5.staticflickr.com/4044/4699823024_e12edbc675.jpg
Highly negative,0.5995,http://farm4.staticflickr.com/3340/3598424609_028a81c55e.jpg
Highly negative,0.5222,http://farm9.staticflickr.com/8391/8503860281_df3ed9f942.jpg
Positive,0.6003,http://farm5.staticflickr.com/4047/4519132674_15f0a68e23.jpg
Positive,0.6381,http://farm5.staticflickr.com/4081/4878548095_6f859932a9.jpg
Negative,0.6751,http://farm4.staticflickr.com/3211/3079003289_7ecb95ecd2.jpg
Negative,0.5593,http://farm8.staticflickr.com/7247/7133184689_0a30f3b9fb.jpg
Positive,0.7582,http://farm4.staticflickr.com/3223/2970077640_0d5f783c91.jpg
Positive,0.7989,http://farm8.staticflickr.com/7083/7282475198_fb41d22b4c.jpg
Negative,0.7612,http://farm5.staticflickr.com/4075/4872612207_1b7cbf2e1d.jpg
Positive,0.6374,http://farm7.staticflickr.com/6035/5914092598_a55779deff.jpg
Positive,0.8028,http://farm2.staticflickr.com/1338/4726569889_d02c75302c.jpg
Negative,0.6368,http://farm7.staticflickr.com/6019/6284653753_3fc06ed47b.jpg
Positive,0.6374,http://farm4.staticflickr.com/3485/3749494223_9a83c9d0f3.jpg
Positive,0.602,http://farm7.staticflickr.com/6053/6362918053_3a09a23b6f.jpg
Positive,0.6366,http://farm4.staticflickr.com/3229/3121495494_840820111b.jpg
Positive,0.84,http://farm1.staticflickr.com/114/260323975_4e76456e6f.jpg
Positive,0.7619,http://farm6.staticflickr.com/5473/9875258856_848eed0b97.jpg
Highly negative,0.5995,http://farm2.staticflickr.com/1367/5143404974_84ff9a23eb.jpg
Positive,0.6454,http://farm4.staticflickr.com/3076/3111083026_f8be9ac91b.jpg
Negative,0.6446,http://farm1.staticflickr.com/108/283658982_43195cedde.jpg
Negative,0.5179,http://farm9.staticflickr.com/8470/8112698907_5fc6e5e8cc.jpg
Highly negative,0.5223,http://farm3.staticflickr.com/2433/4063532232_3a650d595d.jpg
Negative,0.7192,http://farm7.staticflickr.com/6055/6266182518_3cb6716873.jpg
Positive,0.7216,http://farm9.staticflickr.com/8452/7890245806_f7910fa80a.jpg
Negative,0.7626,http://farm6.staticflickr.com/5135/5487308456_cd14e64982.jpg
Negative,0.7585,http://farm4.staticflickr.com/3010/3018157004_669331a7d2.jpg
Negative,0.5211,http://farm5.staticflickr.com/4009/4462774610_b65848cbcc.jpg
Positive,0.7278,http://farm4.staticflickr.com/3561/3485844644_d14a18616d.jpg
Positive,0.8011,http://farm1.staticflickr.com/11/12787813_2dac86fdd4.jpg
Negative,0.5182,http://farm4.staticflickr.com/3152/3047193178_d9b9352d3d.jpg
Positive,0.5181,http://farm6.staticflickr.com/5020/5590605766_58c77c8f7e.jpg
Negative,0.719,http://farm5.staticflickr.com/4140/4813139235_efa48e5a43.jpg
Highly negative,0.8028,http://farm4.staticflickr.com/3830/11430997695_e74f8d7a2d.jpg
Positive,0.8418,http://farm6.staticflickr.com/5465/7243923480_dd0058c191.jpg
Positive,0.6791,http://farm7.staticflickr.com/6168/6145696603_3f16d7092c.jpg
Negative,0.8393,http://farm7.staticflickr.com/6017/5928389107_ceb151538a.jpg
Positive,0.6009,http://farm5.staticflickr.com/4024/4479869362_4cc43b64e4.jpg
Highly negative,0.5255,http://farm3.staticflickr.com/2725/4312932815_b85eeebc13.jpg
Positive,0.6421,http://farm4.staticflickr.com/3763/9692709713_fd9c3fe536.jpg
Negative,0.5566,http://farm1.staticflickr.com/76/206540757_b061e95b5a.jpg
Negative,0.5248,http://farm6.staticflickr.com/5026/5616618789_bb1030b814.jpg
Highly negative,0.5208,http://farm7.staticflickr.com/6095/6226773561_bd56dba660.jpg
Highly negative,0.6,http://farm4.staticflickr.com/3573/3354966307_20f13cb6be.jpg
Negative,0.5231,http://farm2.staticflickr.com/1377/1429883044_8d8efc9e76.jpg
Positive,0.6854,http://farm3.staticflickr.com/2666/4141964487_593f740f88.jpg
Positive,0.7623,http://farm5.staticflickr.com/4073/4915705713_614133e6f5.jpg
Highly positive,0.599,http://farm2.staticflickr.com/1438/1473101829_f69df13af0.jpg
Positive,0.8014,http://farm3.staticflickr.com/2034/2056473159_b977044991.jpg
Negative,0.52,http://farm8.staticflickr.com/7257/7768949124_2e60163756.jpg
Positive,0.5598,http://farm3.staticflickr.com/2005/2213047853_37516490d2.jpg
Highly positive,0.64,http://farm3.staticflickr.com/2719/4082520192_796f11d5b7.jpg
Positive,0.6001,http://farm5.staticflickr.com/4093/4890674620_f0ef38acf5.jpg
Negative,0.5957,http://farm3.staticflickr.com/2088/2356741358_6f974db027.jpg
Positive,0.6015,http://farm5.staticflickr.com/4115/4811471463_e385271fd2.jpg
Highly negative,0.6835,http://farm3.staticflickr.com/2744/4375146983_e7297de56a.jpg
Negative,0.8384,http://farm5.staticflickr.com/4119/4780705479_e38c97f861.jpg
Positive,0.7603,http://farm3.staticflickr.com/2710/4496031653_e3391a51ed.jpg
Negative,0.7572,http://farm3.staticflickr.com/2320/2510392861_e730a110f4.jpg
Positive,0.6044,http://farm9.staticflickr.com/8143/7336249316_83ce2bde0e.jpg
Positive,0.6794,http://farm4.staticflickr.com/3146/2561971339_a4b7e0e955.jpg
Positive,0.6394,http://farm2.staticflickr.com/1423/1203305342_6bb49ffe43.jpg
Positive,0.5151,http://farm1.staticflickr.com/222/473610482_6d42c4a5a7.jpg
Positive,0.6778,http://farm3.staticflickr.com/2391/2327730678_2858fc05f9.jpg
Positive,0.5989,http://farm9.staticflickr.com/8142/7163206031_4589d51b3f.jpg
Positive,0.7989,http://farm8.staticflickr.com/7138/6957346914_8d41d67bbd.jpg
Positive,0.5583,http://farm4.staticflickr.com/3195/2803881595_cdeddd93b7.jpg
Negative,0.5601,http://farm3.staticflickr.com/2784/4312932721_a63a3d4af3.jpg
Highly negative,0.7572,http://farm6.staticflickr.com/5227/5638802395_b013641cef.jpg
Highly negative,0.5636,http://farm5.staticflickr.com/4027/4375152825_0fe7b23473.jpg
Highly negative,0.8031,http://farm7.staticflickr.com/6211/6295863341_e14b189ed2.jpg
Positive,0.5157,http://farm4.staticflickr.com/3272/2294162833_90e34e6ebf.jpg
Positive,0.6783,http://farm4.staticflickr.com/3217/2791848574_b14cd8b9f0.jpg
Negative,0.6388,http://farm5.staticflickr.com/4031/4342635130_f887000a25.jpg
Negative,0.6389,http://farm2.staticflickr.com/1218/5138817971_23ceffb793.jpg
Positive,0.7305,http://farm4.staticflickr.com/3139/2859832265_e4e473e688.jpg
Negative,0.7225,http://farm6.staticflickr.com/5302/5603047248_8da120f7d5.jpg
Highly negative,0.601,http://farm4.staticflickr.com/3033/3000485145_99e868e888.jpg
Positive,0.837,http://farm1.staticflickr.com/136/327080782_a48b1ed67e.jpg
Positive,0.7198,http://farm4.staticflickr.com/3256/3128996413_d24cdc4734.jpg
Positive,0.6793,http://farm3.staticflickr.com/2324/2217691686_548fba8b66.jpg
Highly negative,0.5635,http://farm7.staticflickr.com/6234/6233188783_09fe5dd068.jpg
Positive,0.7201,http://farm2.staticflickr.com/1052/831785493_643a0270c6.jpg
Negative,0.8798,http://farm2.staticflickr.com/1139/1429881880_3df52f0025.jpg
Positive,0.8431,http://farm4.staticflickr.com/3334/3247049826_e175b49bea.jpg
Negative,0.5621,http://farm3.staticflickr.com/2238/1874146704_4bf9682308.jpg
Positive,0.8004,http://farm3.staticflickr.com/2217/2409468436_79628f4a18.jpg
Positive,0.7609,http://farm5.staticflickr.com/4123/4780220054_61095466e9.jpg
Highly negative,0.5631,http://farm5.staticflickr.com/4058/4313668866_b3a2218ed4.jpg
Highly positive,0.5961,http://farm4.staticflickr.com/3022/2745010680_a8a1d2d989.jpg
Highly negative,0.5622,http://farm7.staticflickr.com/6019/6285878636_349da50e5d.jpg
Highly positive,0.5195,http://farm7.staticflickr.com/6003/5923486792_11a1eaec2e.jpg
Negative,0.5966,http://farm1.staticflickr.com/21/25793004_861687e0cc.jpg
Negative,0.7161,http://farm3.staticflickr.com/2458/3811621669_3df1d337d1.jpg
Positive,0.6007,http://farm3.staticflickr.com/2054/3529251688_cafc4ee050.jpg
Positive,0.7238,http://farm9.staticflickr.com/8104/8492606977_5794e4a3a5.jpg
Positive,0.6456,http://farm1.staticflickr.com/172/436452737_0c12c56dfa.jpg
Negative,0.7606,http://farm8.staticflickr.com/7007/6727275581_fab303a06f.jpg
Positive,0.799,http://farm4.staticflickr.com/3293/2508307727_f0b791cfa4.jpg
Highly negative,0.6852,http://farm4.staticflickr.com/3100/2623820943_a44936943b.jpg
Negative,0.5188,http://farm1.staticflickr.com/64/229424640_5865233731.jpg
Positive,0.7615,http://farm4.staticflickr.com/3181/2854259922_ecba68c1c9.jpg
Negative,0.6801,http://farm3.staticflickr.com/2618/3812627239_5ca57ea8ca.jpg
Highly positive,0.6809,http://farm3.staticflickr.com/2718/4102357960_371aa7c386.jpg
Positive,0.7197,http://farm3.staticflickr.com/2402/2378817971_7d75b5683a.jpg
Positive,0.638,http://farm3.staticflickr.com/2223/2184594302_bd2e87e5d2.jpg
Negative,0.6815,http://farm3.staticflickr.com/2356/4508447201_55a3de8097.jpg
Positive,0.6395,http://farm3.staticflickr.com/2221/2165302714_0708b173fc.jpg
Positive,0.7599,http://farm9.staticflickr.com/8290/7655854430_5b59b910fa.jpg
Negative,0.7595,http://farm6.staticflickr.com/5187/5555720304_6095e95f58.jpg
Positive,0.599,http://farm6.staticflickr.com/5230/5626772263_47aa009853.jpg
Highly positive,0.5253,http://farm7.staticflickr.com/6023/5917669625_f2b669d758.jpg
Negative,0.5198,http://farm4.staticflickr.com/3397/3276091018_c2ed17717d.jpg
Negative,0.5995,http://farm6.staticflickr.com/5241/5320041217_2ab6fc0bd9.jpg
Highly negative,0.6437,http://farm6.staticflickr.com/5490/11430975215_8838a80f31.jpg
Positive,0.7583,http://farm3.staticflickr.com/2480/3853399509_1082a137aa.jpg
Positive,0.8408,http://farm6.staticflickr.com/5242/5348995371_9472d7394e.jpg
Highly negative,0.72,http://farm1.staticflickr.com/117/276921043_53a278d57a.jpg
Negative,0.5608,http://farm5.staticflickr.com/4132/4980160508_a73d716a7f.jpg
Negative,0.7567,http://farm4.staticflickr.com/3406/3455206031_3d8290262c.jpg
Positive,0.7583,http://farm5.staticflickr.com/4141/4820200359_4af352794b.jpg
Negative,0.6012,http://farm4.staticflickr.com/3187/3000487183_e9abb6025e.jpg
Negative,0.7194,http://farm2.staticflickr.com/1324/812893868_3f80976a88.jpg
Positive,0.5199,http://farm3.staticflickr.com/2554/3917323401_529729a70f.jpg
Negative,0.6379,http://farm6.staticflickr.com/5453/9671300091_5d7b60bd1c.jpg
Positive,0.763,http://farm8.staticflickr.com/7035/6751265999_73ccd78dee.jpg
Negative,0.7988,http://farm9.staticflickr.com/8511/8558188164_cac3a6a192.jpg
Highly negative,0.7201,http://farm5.staticflickr.com/4047/4375894014_fa2672bb02.jpg
Negative,0.719,http://farm1.staticflickr.com/88/431814281_d5d20d49fd.jpg
Positive,0.6042,http://farm4.staticflickr.com/3540/3798384209_069d59f9d3.jpg
Negative,0.5597,http://farm2.staticflickr.com/1125/5140567537_9da85041fc.jpg
Positive,0.5624,http://farm4.staticflickr.com/3185/2626713113_a0ebf7664a.jpg
Negative,0.5196,http://farm6.staticflickr.com/5281/5375360013_9983487e6f.jpg
Positive,0.7971,http://farm4.staticflickr.com/3524/3798378285_60d6ff09eb.jpg
Positive,0.5953,http://farm4.staticflickr.com/3396/3616802237_f262f01687.jpg
Positive,0.7623,http://farm1.staticflickr.com/53/140528653_d7beed7a65.jpg
Positive,0.838,http://farm1.staticflickr.com/194/503444182_1ed354b1a9.jpg
Positive,0.8871,http://farm7.staticflickr.com/6086/6069545232_05d9c19527.jpg
Positive,0.6811,http://farm9.staticflickr.com/8473/8103246448_1d1d3a6729.jpg
Negative,0.5542,http://farm4.staticflickr.com/3378/3344740484_47da8bd5a2.jpg
Positive,0.64,http://farm4.staticflickr.com/3457/3799215640_2775909683.jpg
Positive,0.5968,http://farm5.staticflickr.com/4125/5050604795_7b84def357.jpg
Highly negative,0.5217,http://farm4.staticflickr.com/3515/3273134726_9c9f956b2b.jpg
Negative,0.879,http://farm4.staticflickr.com/3229/2813253016_baac73dc88.jpg
Positive,0.8022,http://farm3.staticflickr.com/2657/4002596264_93b54eea68.jpg
Positive,0.5999,http://farm4.staticflickr.com/3387/3433829989_289a8af065.jpg
Positive,0.681,http://farm5.staticflickr.com/4108/5160972505_768dfa82a9.jpg
Positive,0.7995,http://farm9.staticflickr.com/8019/7361492510_a6e0f6f8e6.jpg
Highly negative,0.5617,http://farm8.staticflickr.com/7425/9450318742_16d88fbf20.jpg
Negative,0.7591,http://farm7.staticflickr.com/6066/6132479693_c80b4ce7d3.jpg
Highly negative,0.6027,http://farm3.staticflickr.com/2368/1819946267_ec68192345.jpg
Positive,0.8002,http://farm3.staticflickr.com/2690/4198900601_6665ffdfd9.jpg
Negative,0.5598,http://farm3.staticflickr.com/2327/2309706710_fdb6152721.jpg
Positive,0.7594,http://farm4.staticflickr.com/3475/3265412557_86b4c94191.jpg
Positive,0.6434,http://farm4.staticflickr.com/3549/3435265700_31cbfb03b0.jpg
Highly negative,0.5167,http://farm5.staticflickr.com/4147/5141833858_85c351c802.jpg
Positive,0.6006,http://farm5.staticflickr.com/4122/4783372702_f502025662.jpg
Highly negative,0.5218,http://farm5.staticflickr.com/4003/5141180504_8747482a5b.jpg
Positive,0.878,http://farm4.staticflickr.com/3699/8993964960_e2ac0d73f4.jpg
Positive,0.5613,http://farm8.staticflickr.com/7273/7538401304_fda4ef58ec.jpg
Positive,0.6394,http://farm7.staticflickr.com/6147/5918361838_9ba495c3f8.jpg
Highly negative,0.8017,http://farm3.staticflickr.com/2015/2496709807_a841a3f079.jpg
Positive,0.6809,http://farm9.staticflickr.com/8303/7958896314_2838d8e652.jpg
Negative,0.8,http://farm1.staticflickr.com/165/340252803_13eaf244c6.jpg
Highly negative,0.8806,http://farm4.staticflickr.com/3184/3071739430_b184cae721.jpg
Positive,0.601,http://farm3.staticflickr.com/2450/3799212060_4892c52094.jpg
