100 1022
48 44 18
48 51 13
48 63 9
48 64 14
48 73 4
48 78 10
48 84 11
48 89 7
49 10 -2
49 31 0
49 53 12
49 55 4
49 56 15
49 66 -1
49 67 5
49 80 -5
49 94 6
50 2 4
50 5 13
50 11 18
50 51 11
50 56 3
50 60 3
50 67 5
50 78 9
50 90 -5
51 3 18
51 11 11
51 29 0
51 33 -1
51 42 16
51 65 19
51 72 9
51 74 -6
51 78 -5
51 81 8
52 1 5
52 6 0
52 40 19
52 83 -6
52 85 4
52 96 19
53 5 3
53 12 19
53 17 17
53 18 17
53 22 8
53 45 -2
53 76 19
53 80 12
53 88 -3
53 90 4
54 3 16
54 22 11
54 23 9
54 25 -3
54 27 0
54 51 -4
54 69 -5
54 70 7
54 75 14
54 85 15
54 98 15
55 4 13
55 10 -2
55 16 -1
55 18 0
55 19 17
55 30 0
55 42 15
55 48 18
55 54 10
55 66 13
55 74 2
55 79 5
55 83 -3
55 87 -5
56 5 4
56 9 15
56 17 10
56 21 -2
56 22 -3
56 27 -1
56 31 1
56 34 18
56 37 16
56 38 9
56 42 17
56 44 16
56 47 9
56 52 9
56 63 -2
56 77 15
56 92 0
56 99 19
57 1 -4
57 5 19
57 19 7
57 26 4
57 33 -4
57 47 -6
57 66 9
57 67 0
57 70 4
57 85 10
57 95 -1
58 1 -4
58 6 -2
58 18 9
58 25 -2
58 31 -3
58 34 12
58 52 0
58 55 19
58 67 2
58 73 8
58 90 -4
58 92 6
59 8 -1
59 22 18
59 28 2
59 29 0
59 48 7
59 50 10
59 62 11
59 77 -2
59 82 9
60 13 11
60 22 17
60 25 -1
60 45 0
60 47 -3
60 55 1
60 56 -1
60 59 9
60 81 -2
60 85 12
60 89 7
61 2 1
61 30 17
61 31 -4
61 41 -2
61 45 12
61 66 2
61 78 -2
62 0 18
62 1 9
62 34 17
62 39 18
62 42 17
62 66 -6
62 71 3
62 73 7
62 75 13
62 77 -1
62 78 -6
62 87 0
62 89 17
62 94 19
62 99 19
63 16 13
63 39 -6
63 44 14
63 50 7
63 68 18
63 81 16
63 97 7
63 99 -2
64 2 3
64 7 -2
64 8 17
64 20 2
64 32 -2
64 42 1
64 55 6
64 61 -6
64 74 -1
64 89 -3
64 92 14
64 94 9
64 96 18
65 1 9
65 14 19
65 15 -2
65 17 4
65 28 17
65 34 -6
65 41 -2
65 47 0
65 57 15
65 61 16
65 87 12
66 18 3
66 30 -3
66 33 -5
66 37 7
66 38 -5
66 62 0
66 98 14
67 8 8
67 15 11
67 27 -4
67 28 16
67 29 1
67 32 0
67 35 -4
67 54 6
67 68 5
67 72 -1
67 84 16
68 7 17
68 13 -4
68 19 13
68 25 11
68 39 9
68 57 7
68 65 -3
68 66 -5
68 98 1
69 8 -6
69 9 9
69 13 4
69 28 -3
69 53 19
69 65 4
69 75 17
69 81 14
69 88 18
70 2 -5
70 4 6
70 8 10
70 25 16
70 66 16
70 77 -3
70 79 16
70 85 9
70 99 7
71 7 5
71 9 0
71 16 -2
71 20 2
71 23 12
71 24 6
71 38 5
71 40 9
71 42 15
71 53 13
71 75 12
71 79 8
71 92 4
71 99 18
72 10 0
72 11 3
72 15 5
72 23 2
72 36 7
72 38 -1
72 42 -3
72 43 6
72 44 13
72 48 -1
72 54 6
72 56 -6
72 58 0
72 60 13
72 61 -4
72 76 -4
72 86 12
72 89 1
72 95 -6
72 96 3
73 8 10
73 31 3
73 39 -1
73 69 10
73 75 -4
73 78 18
73 86 -4
73 92 15
73 97 -5
74 22 -6
74 25 15
74 31 6
74 38 -4
74 50 10
74 84 18
74 86 17
75 33 13
75 49 6
75 70 8
75 74 -5
75 85 9
75 93 0
75 97 -5
76 0 19
76 3 11
76 6 -4
76 17 -5
76 21 0
76 22 6
76 25 3
76 36 2
76 51 16
76 62 17
76 65 -6
76 71 6
76 82 19
76 89 4
77 3 9
77 19 17
77 21 0
77 65 -5
77 69 -4
77 72 7
77 74 19
77 76 7
77 89 1
78 9 -3
78 19 16
78 33 12
78 38 4
78 66 12
78 73 2
78 81 10
78 93 6
78 97 -4
79 11 18
79 17 7
79 39 6
79 49 -6
79 50 -6
79 60 3
79 64 12
79 72 -6
79 74 4
79 89 5
79 91 1
80 0 2
80 36 9
80 47 0
80 48 18
80 49 13
81 4 13
81 10 7
81 24 3
81 26 19
81 50 -1
81 60 5
81 68 9
82 0 10
82 1 17
82 21 10
82 31 13
82 33 -5
82 48 1
82 56 0
82 70 3
82 86 7
83 13 13
83 21 7
83 36 0
83 37 8
83 64 15
83 75 -4
83 77 6
83 90 1
83 99 14
84 6 0
84 10 9
84 15 1
84 30 16
84 36 9
84 55 8
84 61 2
84 80 5
84 94 8
84 95 2
85 39 0
85 41 0
85 46 4
85 49 17
85 54 -2
85 61 16
85 65 19
85 77 6
86 10 4
86 20 -6
86 23 2
86 30 17
86 38 13
86 61 1
86 71 -5
86 84 -5
86 93 -6
87 3 -3
87 23 -3
87 32 12
87 33 2
87 38 -2
87 46 -4
87 50 0
87 81 7
87 88 11
87 89 10
88 3 10
88 11 1
88 21 12
88 35 -1
88 36 0
88 43 -6
88 46 3
88 50 9
88 51 0
88 70 18
88 71 1
88 75 15
88 84 1
88 92 -6
88 96 16
89 4 12
89 8 -1
89 10 11
89 18 18
89 36 1
89 43 10
89 46 12
89 52 1
89 58 11
89 61 15
89 74 14
89 86 -1
89 95 19
90 5 6
90 42 9
90 54 15
90 67 7
90 69 3
90 84 0
90 91 -2
90 99 11
91 9 0
91 15 -6
91 30 15
91 50 16
91 52 11
91 53 -5
91 66 7
91 70 -1
91 88 0
91 93 -4
91 98 0
91 99 -4
92 10 9
92 57 -5
92 65 14
92 73 0
92 74 -5
92 80 5
93 0 18
93 1 8
93 6 9
93 10 7
93 12 -1
93 20 10
93 25 10
93 62 6
93 72 11
93 92 -4
93 94 2
94 1 -6
94 6 -2
94 15 7
94 18 -5
94 23 5
94 26 0
94 38 6
94 60 7
94 66 5
94 74 15
95 35 9
95 36 6
95 48 11
95 51 0
95 70 19
95 71 4
95 73 -6
95 87 1
96 19 11
96 35 0
96 38 16
96 55 7
96 56 16
96 65 6
96 97 8
97 12 8
97 15 0
97 17 -6
97 30 -3
97 34 8
97 70 18
97 74 11
97 82 -5
97 84 4
97 85 17
97 87 7
97 92 15
98 2 15
98 3 13
98 12 19
98 13 11
98 17 1
98 22 4
98 52 9
98 61 -4
98 70 18
98 71 14
98 93 5
98 99 -4
99 5 17
99 10 0
99 14 18
99 20 18
99 50 -3
99 52 11
99 55 -5
99 57 17
99 86 10
99 89 14
99 92 14
99 98 2
