1000 2995
184 486 55
185 33 -2
185 765 32
185 821 61
186 76 43
186 205 -8
186 409 57
186 578 5
186 683 46
186 782 72
187 32 22
187 394 22
187 927 84
188 12 98
188 413 24
189 383 89
191 342 65
191 595 68
192 660 16
192 852 83
192 956 53
193 186 19
193 505 64
193 867 19
194 120 11
194 477 0
194 626 11
194 890 44
195 274 33
195 716 76
195 919 48
196 90 64
196 194 90
196 403 38
196 407 99
196 634 56
197 262 77
197 472 39
197 491 41
197 656 52
197 847 90
198 442 -5
198 639 38
199 274 89
199 495 60
199 523 19
199 766 81
199 785 -8
200 409 38
200 646 27
200 704 16
201 352 70
201 665 34
201 838 94
202 12 12
202 79 90
202 136 9
202 729 52
202 882 33
203 320 69
203 797 0
204 175 19
204 229 48
204 649 76
205 97 -4
205 443 1
205 505 59
205 680 72
205 953 -8
206 162 43
206 349 84
206 637 10
206 836 62
207 147 50
207 245 -4
207 610 56
207 682 69
207 903 63
208 189 57
208 510 52
208 519 84
209 20 -8
209 115 73
209 479 38
209 722 97
209 813 76
209 836 34
210 36 99
210 289 83
210 827 -6
211 9 45
211 50 74
211 394 -5
212 37 38
212 280 21
212 333 67
212 370 97
212 866 82
214 176 64
214 561 37
214 652 73
215 94 48
215 306 99
215 493 75
215 658 31
215 661 64
215 962 60
216 232 48
216 278 22
216 332 59
216 906 8
217 316 50
217 630 40
217 726 37
217 977 63
218 170 54
218 242 46
218 512 60
218 614 91
218 717 -7
218 991 67
219 182 44
219 365 48
219 680 87
219 704 51
219 941 44
220 452 19
221 549 3
221 746 92
221 806 24
221 958 93
222 683 53
223 113 40
223 224 0
223 470 70
223 580 10
223 882 0
224 107 4
224 618 88
225 515 29
225 587 65
226 8 -5
226 164 29
226 218 49
226 767 35
227 406 74
227 688 1
228 482 61
228 840 44
229 5 12
229 148 71
229 513 19
229 676 80
230 172 53
230 470 2
230 565 -2
231 786 66
231 876 2
232 439 98
232 504 -6
233 45 84
233 116 77
233 226 57
233 529 37
234 351 71
234 629 69
234 672 34
234 736 -9
235 354 96
235 450 77
235 605 38
235 959 1
236 494 88
236 690 65
236 703 46
236 982 77
237 324 16
237 641 3
238 76 65
238 205 7
238 715 95
238 851 86
238 853 50
239 103 35
239 258 4
239 296 25
239 399 88
240 23 29
240 759 41
242 148 61
242 722 61
243 312 81
243 586 87
244 612 97
245 98 81
245 304 42
245 859 28
245 924 80
246 125 23
246 418 26
246 506 51
246 695 61
246 763 83
247 326 15
247 448 15
249 235 84
249 246 80
250 379 17
251 11 82
251 356 75
251 919 38
252 62 8
252 545 38
253 4 79
253 714 31
253 896 95
255 30 -9
255 887 35
255 977 38
256 740 82
256 898 80
257 455 71
257 504 -8
257 664 12
257 724 -8
257 879 88
257 883 25
258 33 21
259 148 78
260 646 19
260 743 47
261 343 21
261 420 93
261 861 51
262 473 71
262 608 88
262 762 18
262 957 59
263 97 43
263 350 8
263 993 4
264 392 66
265 281 -4
266 23 24
267 941 -4
268 413 45
268 711 38
269 89 54
269 98 22
269 843 23
269 896 -8
270 355 63
270 457 15
270 745 67
270 831 68
271 84 21
271 334 88
271 412 75
271 575 19
271 592 7
271 635 5
272 154 44
272 712 12
272 881 44
272 923 46
273 44 15
273 269 47
273 431 67
273 641 78
274 235 65
274 323 24
274 489 2
276 243 0
276 541 94
277 49 10
277 145 87
277 764 54
278 1 16
278 191 84
278 240 36
278 248 -9
278 735 9
278 925 97
279 37 92
279 73 25
279 307 73
279 311 41
279 344 27
279 569 44
279 737 15
279 963 46
280 121 46
280 330 75
280 620 85
280 915 88
280 925 2
281 86 47
281 405 27
281 704 14
282 416 36
282 470 2
282 966 11
283 403 78
283 546 33
283 976 10
284 173 48
284 257 9
284 504 40
284 971 29
285 275 41
285 377 66
285 390 92
285 489 20
285 571 4
285 778 36
285 981 71
286 161 1
286 223 26
287 46 70
287 681 15
287 844 51
288 854 77
289 251 77
290 96 37
290 296 -8
290 528 24
290 671 67
291 199 24
291 629 17
291 918 55
292 983 32
293 359 -1
293 486 -5
294 76 65
294 166 85
294 515 97
294 648 47
294 762 3
295 280 57
295 464 66
295 525 83
295 692 76
296 122 7
296 387 52
296 967 2
297 459 35
298 49 69
298 488 50
298 874 0
299 247 59
299 629 32
300 846 42
301 75 19
301 484 18
301 748 13
302 448 53
302 705 32
302 756 36
303 34 59
303 154 35
303 166 -5
303 252 28
303 261 65
303 474 33
303 999 8
304 239 83
304 267 63
305 40 3
305 289 90
305 337 20
305 423 25
305 649 34
307 787 -1
307 973 91
308 227 14
308 234 81
308 259 10
308 682 64
309 212 14
309 704 12
309 823 45
309 846 59
310 29 94
310 34 39
310 309 76
310 485 37
310 832 89
311 271 43
311 969 61
312 83 20
312 695 -3
312 696 56
313 132 56
314 199 -5
314 764 43
314 884 64
314 989 84
315 294 47
315 439 21
315 781 48
315 894 -8
317 228 82
318 437 1
318 502 38
318 527 8
319 55 70
319 113 22
319 331 92
319 438 99
320 583 19
320 585 73
320 704 70
321 768 98
322 148 23
322 316 64
323 209 21
323 289 -3
323 295 55
323 983 35
324 710 93
324 905 46
325 231 -5
326 222 57
326 713 41
327 650 34
327 956 45
329 542 -9
329 854 53
330 567 73
330 818 26
330 862 89
330 899 21
331 931 -6
332 186 41
332 448 56
332 913 90
332 916 58
333 747 82
333 765 23
333 983 65
335 75 0
335 683 18
336 609 84
337 594 85
337 780 21
337 983 44
338 593 60
339 334 63
339 416 99
339 482 -3
339 539 20
339 557 44
339 654 83
339 846 66
340 26 72
340 72 29
340 516 12
340 634 50
341 217 71
342 137 73
342 615 90
343 380 21
343 490 46
343 934 -4
344 736 47
344 800 27
345 14 97
345 30 16
345 54 91
345 480 31
345 553 16
345 680 12
345 988 28
346 778 18
347 734 98
347 783 -9
347 843 -6
347 991 80
348 703 11
348 803 9
348 836 8
348 995 61
349 254 65
349 394 19
350 48 11
350 114 45
350 291 20
351 941 69
352 276 0
352 417 36
353 384 92
353 631 70
354 120 -3
354 138 17
354 400 76
354 538 52
354 732 99
355 501 59
356 421 98
360 476 -2
361 331 47
361 775 65
362 37 -2
362 103 -5
362 686 -8
363 69 44
363 222 77
363 314 15
363 359 27
363 508 -3
364 242 -5
364 782 71
364 865 97
365 237 39
365 293 8
365 689 30
366 250 42
366 312 64
366 419 60
366 941 6
367 74 28
367 271 63
367 496 71
367 508 58
367 757 23
368 171 41
368 246 71
368 504 -1
368 934 5
369 518 -5
369 669 -6
369 784 36
370 83 73
370 222 -1
370 651 17
370 663 68
370 893 32
371 558 63
372 108 84
372 873 23
372 955 20
373 146 74
373 268 48
373 522 46
373 614 82
373 776 28
373 891 -8
374 226 16
375 411 51
375 913 72
376 584 57
376 672 63
376 689 71
377 507 33
377 510 37
377 576 56
377 771 10
378 7 94
378 575 98
378 602 76
378 739 97
379 912 59
380 454 -3
380 551 13
380 790 8
381 221 63
381 664 43
382 256 73
382 280 85
382 528 84
382 717 61
383 471 47
383 509 3
383 593 99
383 771 65
383 782 28
384 423 6
384 836 67
384 939 58
385 97 78
385 134 91
385 284 90
385 378 13
386 641 71
386 903 -3
387 111 57
387 783 16
387 907 51
388 273 81
388 652 3
388 717 13
389 517 90
390 438 90
390 554 32
390 607 79
391 256 23
391 799 88
391 892 44
392 238 54
393 921 -8
394 130 75
394 264 59
394 272 51
394 413 -9
394 675 8
395 620 67
396 74 14
396 427 9
397 218 22
397 923 69
398 90 15
399 420 7
399 947 87
400 565 86
400 812 89
400 883 45
401 277 34
401 591 60
401 966 94
402 59 25
402 333 58
402 347 15
403 280 6
403 306 53
403 721 88
404 838 19
404 875 86
405 526 -2
405 876 20
405 964 40
405 995 83
406 597 -5
406 930 75
407 775 54
408 85 -7
408 88 11
408 267 4
408 292 86
408 436 3
408 799 48
408 974 14
409 286 78
409 307 93
409 375 0
409 571 10
409 608 -2
409 891 65
409 904 -2
410 110 26
410 348 -3
410 611 62
410 886 39
411 342 53
411 447 9
411 825 66
412 115 33
412 259 30
412 739 79
413 364 43
413 599 54
413 892 82
413 945 72
413 995 39
414 200 89
414 735 48
414 973 56
415 213 79
415 379 76
415 752 70
415 830 40
416 212 79
416 239 62
416 404 4
417 348 36
418 285 98
419 580 -5
419 965 -2
420 665 74
420 743 45
421 227 -8
421 398 92
421 432 88
421 464 44
421 643 63
421 942 20
422 183 4
422 196 0
422 437 86
422 463 15
422 853 39
422 942 81
423 933 -9
424 173 -3
424 219 16
424 757 52
424 911 0
424 956 0
425 128 76
425 143 86
425 272 41
425 667 40
425 684 63
426 234 51
426 333 77
426 471 2
427 137 22
427 510 41
427 678 54
427 733 50
428 936 11
429 650 88
429 700 88
429 738 -6
429 921 4
430 74 85
430 820 95
431 12 37
431 464 85
431 492 3
432 12 29
432 78 14
432 202 3
432 295 42
432 604 31
432 662 15
433 171 1
433 699 65
434 28 95
434 78 -9
434 141 74
434 155 50
434 548 52
435 106 36
435 689 91
436 103 82
436 410 -7
436 509 45
437 311 84
438 212 90
438 723 93
438 727 50
439 616 65
439 686 23
440 613 88
440 867 27
441 11 49
441 345 21
441 404 35
441 459 73
441 768 48
442 366 53
442 557 22
442 841 90
442 935 59
443 904 17
443 917 93
444 127 67
444 143 31
444 164 4
444 556 24
445 199 38
445 680 37
445 688 18
446 30 93
446 65 67
446 358 89
446 405 19
446 534 18
446 787 10
447 343 48
447 352 -9
447 482 38
448 70 49
448 128 6
448 598 48
448 606 20
448 607 73
448 976 60
449 731 -2
449 775 8
450 552 16
450 611 50
451 43 34
451 928 49
452 210 68
452 256 76
452 438 24
452 532 34
452 645 83
452 699 21
454 85 61
454 188 -1
454 206 28
454 449 89
454 953 49
455 29 -7
455 149 28
455 180 67
455 305 53
455 831 43
456 95 86
456 994 84
457 117 63
457 280 27
457 396 98
457 404 17
457 677 86
457 908 65
458 722 12
458 745 24
459 197 11
459 637 15
459 745 74
460 122 44
460 532 67
460 782 -5
461 193 69
461 244 76
462 776 51
463 676 -9
463 928 10
464 515 70
464 604 84
464 885 81
465 381 45
465 499 46
465 797 64
466 246 73
466 774 81
466 812 78
466 995 21
467 85 -8
467 145 98
467 351 78
467 746 30
468 139 88
468 259 -8
470 183 71
470 237 3
470 393 29
470 841 29
471 203 -7
471 308 23
471 408 78
471 801 84
472 560 52
473 349 75
473 674 -9
474 289 10
474 356 19
475 535 0
475 896 22
475 952 20
475 981 39
476 411 -8
476 979 48
477 74 50
477 96 -4
477 885 67
477 905 11
478 759 44
479 50 23
479 126 8
479 565 99
480 483 -4
480 585 67
480 693 20
480 787 87
481 294 32
481 340 8
482 142 5
482 285 76
482 461 5
483 306 36
483 426 49
483 527 25
483 865 10
483 943 72
483 974 7
483 975 79
484 675 5
485 43 -5
485 130 6
485 208 -9
486 143 48
486 328 0
487 91 72
487 656 23
487 743 55
487 978 25
488 642 97
488 875 69
489 425 -7
489 469 2
489 502 90
490 654 62
490 708 21
490 920 61
491 353 36
491 482 48
491 687 79
491 978 74
492 390 41
492 502 82
492 586 39
493 8 21
493 65 88
493 107 0
493 430 56
494 473 -7
495 73 7
495 533 42
497 85 8
497 132 55
497 572 67
498 143 97
498 213 43
498 226 -1
498 346 31
498 429 50
498 512 89
498 751 18
498 949 0
499 151 44
499 193 2
499 359 33
499 423 94
499 572 87
500 310 68
500 596 -5
500 761 92
500 843 68
500 859 69
500 960 1
501 332 13
501 334 58
501 885 9
502 256 68
503 145 58
503 590 14
503 674 29
504 146 79
504 729 92
504 833 62
505 650 9
506 21 75
506 240 81
506 446 30
506 465 -3
506 484 31
506 491 0
506 971 1
507 201 51
507 243 85
507 288 70
508 56 33
508 255 16
508 901 44
509 32 45
510 26 -4
510 36 62
510 527 17
510 719 63
511 220 52
511 337 54
511 361 -2
511 882 40
512 198 58
512 516 40
512 958 65
513 179 40
513 406 81
513 462 74
514 161 30
514 186 9
514 227 80
514 614 94
514 803 75
515 142 6
515 223 -4
515 311 92
515 649 34
515 783 86
516 578 14
516 608 42
516 851 6
516 983 64
517 967 71
519 1 23
519 95 8
519 443 56
519 558 68
519 992 8
520 498 57
520 512 9
520 813 76
520 822 43
521 541 20
521 594 45
521 691 46
521 733 44
521 857 95
521 939 -4
522 330 49
522 554 72
522 906 22
523 171 30
523 211 -5
523 365 94
523 369 28
523 473 61
523 516 87
523 812 83
524 384 45
524 398 72
524 673 35
525 124 23
526 499 -9
526 659 47
527 13 37
528 176 38
528 821 -6
529 238 63
529 755 37
529 910 51
530 53 30
530 177 38
530 253 23
530 298 83
530 461 68
530 653 74
530 689 21
531 220 97
531 470 2
531 864 79
533 117 68
533 474 50
533 498 22
534 166 87
534 296 85
534 324 16
535 152 63
535 307 -3
535 765 8
535 900 13
535 910 52
536 184 1
536 527 66
537 376 10
537 542 -8
537 544 -7
537 677 70
537 767 20
538 185 3
539 85 10
539 942 19
540 422 89
541 314 65
541 531 78
541 914 40
542 387 87
542 388 80
542 389 59
542 666 72
542 964 12
543 462 67
544 14 36
544 618 15
544 767 65
545 583 17
545 757 69
545 793 44
545 838 22
546 392 43
546 762 57
546 902 27
546 932 75
547 45 34
547 108 40
547 531 40
547 764 32
549 583 -2
549 626 38
549 831 94
550 367 92
550 659 71
551 181 57
551 183 24
551 411 93
551 597 50
551 678 18
552 171 57
552 253 30
553 132 20
553 890 -7
553 923 37
553 987 48
554 162 81
554 303 7
554 625 46
554 777 19
554 996 81
555 53 70
555 178 27
555 333 94
556 0 23
556 491 48
556 660 79
557 32 4
557 470 99
557 612 29
557 658 89
557 999 55
558 26 42
558 68 98
558 683 23
559 547 5
559 713 96
559 723 86
559 817 15
560 343 26
560 446 24
560 966 74
561 96 38
561 272 62
561 778 98
562 293 -2
562 546 60
562 864 36
563 482 54
563 525 46
563 915 95
564 135 52
564 834 75
565 639 0
565 729 59
565 803 52
565 952 34
566 64 86
566 630 77
566 989 95
567 15 25
567 667 54
568 14 51
568 105 35
568 908 93
569 507 63
569 968 84
570 483 22
570 884 -5
571 801 84
572 222 83
572 308 51
572 467 27
572 922 8
573 483 14
573 562 50
573 647 76
573 739 56
573 764 66
574 231 14
574 467 39
574 581 95
574 601 42
574 613 58
574 681 17
574 751 20
575 22 71
575 65 45
575 239 68
575 279 91
575 327 70
575 367 58
575 823 74
575 936 0
575 945 12
576 259 67
576 762 36
576 959 8
577 148 52
577 636 28
577 668 19
577 740 30
577 763 88
578 407 39
578 933 39
579 201 43
579 354 70
579 589 88
579 602 57
579 647 37
581 281 50
582 131 21
582 226 89
583 392 82
584 346 64
584 443 28
584 837 63
584 918 42
585 541 66
586 93 18
586 244 67
586 371 21
586 394 -1
586 748 -1
586 779 22
586 977 63
587 429 53
587 778 48
588 410 95
589 218 39
589 550 56
589 641 52
589 901 16
590 191 35
590 649 39
590 713 59
591 772 1
591 855 66
591 936 47
592 35 68
592 344 40
593 130 45
593 692 80
593 848 21
593 904 52
594 735 -6
595 904 72
595 944 89
596 42 59
596 266 57
596 530 48
596 649 0
598 356 52
598 852 22
600 171 73
600 328 0
600 497 8
601 319 39
601 476 76
601 643 11
601 719 23
602 340 90
602 504 88
602 706 17
602 747 62
602 962 44
603 259 0
603 582 34
603 596 20
604 93 9
604 175 96
604 837 19
604 855 -6
604 948 32
605 183 11
606 260 91
606 850 3
607 244 27
607 488 99
609 424 3
609 599 -7
609 735 31
609 957 32
610 179 60
610 435 0
611 92 65
611 843 77
612 430 -1
612 603 0
612 808 79
613 414 12
613 628 45
613 757 64
613 898 85
613 960 22
613 973 25
614 270 32
614 730 46
615 522 32
615 988 24
617 884 4
618 708 75
619 86 11
620 247 16
620 739 28
620 878 4
621 92 88
621 315 82
621 472 27
621 485 38
621 998 50
622 170 44
622 352 23
622 587 89
622 777 57
622 792 42
623 666 84
624 592 55
624 666 14
624 692 98
624 893 68
625 149 79
625 499 54
625 634 69
625 682 13
626 505 23
626 607 60
627 62 -7
627 184 66
627 607 59
627 676 20
627 964 46
628 31 47
628 565 -5
628 730 50
629 172 77
629 241 12
629 252 29
630 41 52
630 413 97
631 206 39
631 293 16
631 498 58
631 604 44
631 663 5
632 75 92
632 284 58
632 289 54
632 882 2
633 468 31
634 37 1
634 140 -6
634 259 42
634 592 29
634 624 9
635 598 93
636 715 93
636 952 66
637 261 15
637 389 57
638 376 98
638 486 -7
639 173 -8
639 583 48
639 604 8
639 979 40
640 498 48
640 564 29
641 724 -1
642 27 3
642 736 0
642 907 98
643 583 -6
644 136 71
644 221 21
644 412 74
644 712 19
644 820 77
644 889 83
645 385 35
645 635 9
645 741 46
645 962 97
645 976 71
645 992 79
646 431 -2
646 514 71
647 101 43
647 159 80
647 870 10
647 934 0
648 4 20
648 364 -3
649 417 17
650 681 41
651 43 53
652 576 31
653 258 43
653 451 74
653 498 98
653 983 40
654 755 29
656 27 54
656 170 85
656 172 -3
656 448 95
656 463 70
656 871 -1
656 873 99
657 577 85
658 49 22
658 383 32
658 413 94
659 26 87
659 445 90
659 707 44
659 837 92
659 917 94
660 417 82
660 526 23
660 812 82
660 845 0
660 995 -5
661 226 60
661 624 90
661 685 51
662 269 58
662 297 41
662 589 50
662 624 47
663 571 7
663 618 39
663 647 12
663 902 94
664 327 10
664 604 -9
665 200 62
665 694 91
665 745 77
666 12 42
666 396 79
666 476 28
666 493 8
666 497 42
666 873 78
668 36 69
668 818 1
668 936 78
669 347 -8
669 837 27
669 914 65
670 296 -2
670 392 6
670 609 4
670 740 33
670 806 98
671 341 12
671 407 1
672 488 57
672 773 0
673 349 0
673 516 66
673 559 10
673 872 -4
674 253 79
674 407 84
674 800 68
674 804 23
675 497 23
675 536 27
675 599 10
675 741 56
675 998 -3
676 88 69
676 483 39
676 608 80
677 70 84
678 226 28
678 833 54
678 841 43
679 846 79
680 84 37
680 97 53
680 117 16
680 194 55
680 988 0
681 828 60
681 880 -1
682 5 26
682 241 96
683 719 74
683 737 40
684 52 -4
684 403 46
685 121 70
685 378 6
685 425 20
685 456 24
685 796 2
685 869 69
686 975 15
687 487 4
687 826 8
688 29 77
688 254 66
688 691 -6
688 774 41
688 845 66
689 829 9
690 343 77
690 615 -6
690 933 32
691 123 29
691 244 28
691 322 7
691 421 10
692 318 71
692 883 94
693 94 47
694 296 -8
695 306 4
695 445 95
695 666 0
696 993 86
697 33 42
697 231 15
697 322 33
697 653 99
698 53 63
698 152 93
698 278 54
698 526 22
699 270 9
700 168 42
700 391 90
700 877 1
700 964 5
701 345 81
701 564 79
701 643 81
701 899 75
702 76 -2
702 105 89
702 206 19
702 211 38
702 220 66
703 570 87
704 4 10
704 363 79
704 694 71
704 830 56
704 916 -3
705 6 95
705 528 99
705 577 45
705 766 94
706 73 36
706 95 45
706 775 8
707 381 -7
707 536 82
707 667 82
708 688 74
708 703 44
708 788 4
709 331 89
709 457 50
710 312 24
710 428 7
710 754 70
710 983 36
711 640 4
712 0 0
712 303 97
712 407 0
712 901 0
713 251 84
713 336 6
713 621 58
714 11 22
714 80 34
714 201 31
714 529 16
714 634 -3
714 733 92
714 803 86
715 39 22
715 488 11
715 581 18
716 228 6
716 388 5
716 844 45
717 779 21
717 869 60
718 947 0
719 601 91
719 656 16
719 807 2
720 417 59
721 402 78
721 546 -5
721 607 18
721 845 -4
722 715 65
723 154 62
723 155 42
723 623 1
723 847 58
724 725 9
724 934 13
725 201 23
725 338 75
726 242 -4
726 441 79
726 840 17
727 263 85
727 434 -5
727 521 81
727 577 81
727 771 -9
728 834 -9
728 923 63
729 185 18
729 199 13
729 397 37
729 399 25
729 736 13
730 339 59
731 270 24
731 727 66
732 389 64
732 862 94
732 991 10
733 403 -4
733 479 -8
733 542 99
733 842 19
733 864 89
734 225 97
734 445 72
734 482 84
734 738 57
734 849 20
735 4 68
735 432 65
736 758 55
737 116 69
737 820 63
737 834 42
737 919 96
738 163 79
738 236 -7
738 379 37
738 390 23
738 475 7
738 800 62
739 134 30
739 200 32
739 474 97
739 760 3
739 923 83
739 928 60
740 286 77
740 313 28
740 844 93
741 680 37
742 120 24
742 144 31
742 363 55
742 551 10
743 638 18
743 938 9
744 179 47
744 226 75
744 818 88
745 366 5
745 455 12
745 981 8
746 315 10
747 200 92
748 324 24
749 228 54
749 642 24
750 229 91
750 420 0
751 139 11
751 393 38
751 609 23
751 660 86
751 952 35
752 393 23
752 451 36
752 840 22
754 313 85
754 317 20
754 391 61
754 569 70
755 30 51
755 101 41
755 237 59
755 496 41
756 164 90
756 380 76
757 627 93
758 14 28
758 100 55
758 290 39
758 484 84
758 850 15
758 998 67
759 562 33
759 563 46
759 624 98
760 400 94
760 410 86
761 290 20
761 530 45
761 576 -5
762 362 4
763 401 -5
763 493 68
763 821 41
764 124 62
764 354 24
764 474 56
764 683 58
764 776 46
765 22 12
765 165 58
765 409 39
765 977 -1
766 634 25
766 824 32
767 213 90
767 495 -2
